"Question No.","Marks","Question"
"1","2","What were the major causes of the First World War?"
"2","2","Explain the significance of the Treaty of Versailles in shaping post-WWI Europe."
"3","2","Discuss the impact of the Industrial Revolution on global trade."
"4","2","What were the key factors that led to the rise of nationalism in 19th-century Europe?"
"5","2","Explain the role of colonialism in the development of modern economies."
"6","2","What is the significance of the French Revolution in world history?"
"7","2","Explain the concept of feudalism and its impact on medieval Europe."
"8","2","What were the main causes and consequences of the American Civil War?"
"9","2","Define imperialism. How did it influence global geopolitics in the 19th and 20th centuries?"
"10","2","What was the role of the United Nations in post-WWII international relations?"
"11","5","Discuss the causes and effects of the Industrial Revolution in Europe."
"12","5","What is the concept of socialism? How did it influence political movements in the 19th and 20th centuries?"
"13","5","Explain the main political ideologies that emerged during the 19th century."
"14","5","What were the consequences of the Treaty of Paris (1763) on European colonialism?"
"15","5","What were the major economic impacts of World War II on the global economy?"
"16","5","How did the colonization of India affect its economy and society?"
"17","5","Explain the historical significance of the Cold War and its impact on global politics."
"18","5","What were the major reforms in Russia under Peter the Great?"
"19","5","What was the role of the British Empire in shaping the modern world?"
"20","5","Discuss the importance of the Berlin Conference (1884-85) in the partitioning of Africa."
"21","5","How did the French Revolution contribute to the rise of democratic ideals?"
"22","5","Explain the causes and consequences of the Russian Revolution of 1917."
"23","5","What is globalization? Discuss its economic and social impacts on developing countries."
"24","5","Explain the economic concepts of supply and demand with real-life examples."
"25","5","What are the primary goals of the European Union (EU)?"
"26","5","What is the role of the United Nations in promoting human rights?"
"27","5","What were the causes and consequences of the Cuban Missile Crisis?"
"28","5","Discuss the significance of the Vietnam War in Cold War politics."
"29","5","What were the major causes of the 2008 global financial crisis?"
"30","5","What is the importance of the Bretton Woods Agreement in global economic governance?"
"31","5","What is the difference between classical and Keynesian economics?"
"32","5","What was the role of women during the World War II era in both military and civilian sectors?"
"33","5","Explain the role of geography in shaping the political boundaries of countries."
"34","5","What is the significance of the Silk Road in facilitating cultural exchange between the East and West?"
"35","5","What is the concept of a welfare state? How does it relate to modern economics?"
"36","5","What are the main functions of a political party in a democracy?"
"37","5","What are the key differences between a parliamentary system and a presidential system of government?"
"38","5","What is the role of public opinion in shaping government policy?"
"39","5","How does a country's geography influence its economic development?"
"40","5","Explain the concept of imperialism and its impact on global trade."
"41","5","What were the key factors that led to the formation of the European Union?"
"42","5","How did the colonization of Africa affect the political landscape of the continent?"
"43","5","What is the significance of the Magna Carta in the development of democracy?"
