"Question No.","Marks","Question"
"1","2","Define force and explain its SI unit."
"2","2","What is the difference between a scalar and a vector quantity? Give examples."
"3","2","Explain the concept of a free body diagram (FBD)."
"4","2","State and explain the law of parallelogram of forces."
"5","2","What is the importance of the principle of transmissibility of forces?"
"6","2","Define moment of a force about a point. State its SI unit."
"7","2","Explain the concept of static equilibrium."
"8","2","What is the difference between coplanar and non-coplanar forces?"
"9","2","State the condition for equilibrium of a rigid body under coplanar forces."
"10","2","What do you understand by the term ‘resultant force’?"
"11","2","Explain the difference between concurrent and non-concurrent forces."
"12","2","What is the condition for equilibrium of a particle under two forces?"
"13","2","What is the significance of a couple in mechanics?"
"14","2","State and explain Newton's first law of motion."
"15","2","Explain the concept of work and energy. State their SI units."
"16","2","What is the difference between static and kinetic friction? Explain each."
"17","2","State the law of inertia and its importance in mechanics."
"18","2","Define centripetal force and give an example."
"19","2","Explain the difference between concurrent and non-concurrent forces."
"20","2","What is the equilibrium condition for a body under the action of three forces?"
"21","2","Explain the concept of angular displacement."
"22","2","What is the importance of the principle of virtual work?"
"23","2","Explain the difference between static equilibrium and dynamic equilibrium."
"24","2","What is the significance of friction in mechanical systems?"
"25","2","What are the methods for finding the resultant of two non-parallel forces?"
"26","2","Define velocity and acceleration in the context of rectilinear motion."
"27","2","Explain the concept of torque and its importance."
"28","2","What is the significance of the radius of gyration in rotational motion?"
"29","2","What is the concept of linear momentum and its conservation?"
"30","2","Explain the law of sines and the law of cosines in the context of force resolution."
"31","5","Explain the conditions for equilibrium of a particle under coplanar forces."
"32","5","Describe the procedure to determine the resultant force of two forces acting at an angle."
"33","5","Explain the significance of the frictional force and its role in motion."
"34","5","What is the difference between conservative and non-conservative forces? Give examples."
"35","5","Define the moment of inertia of a body and derive the formula for a solid disc."
"36","5","State and explain the work-energy theorem with an example."
"37","5","What is the relationship between torque and moment of a force?"
"38","5","Describe the principle of conservation of momentum in the context of collisions."
"39","5","What is a rolling motion? Explain with examples."
"40","5","Explain the process of finding the center of gravity of a body."
"41","5","What is the difference between the motion of a particle in a straight line and a curve?"
"42","5","Describe the types of forces in engineering mechanics and their applications."
"43","5","Explain the concept of circular motion and the forces involved."
"44","5","What are the applications of Newton’s second law of motion in engineering?"
"45","5","State and explain the parallelogram law of forces."
"46","5","What is the difference between stress and strain? Define their types."
"47","5","Explain the concept of a rigid body in mechanics."
"48","5","Describe the method of calculating the resultant of forces in a non-coplanar system."
"49","5","Explain the role of moment of inertia in rotational dynamics and provide an example."
"50","5","What is the significance of friction in engineering applications?"
"51","5","State and explain the laws of motion with respect to an object in a non-inertial reference frame."
"52","5","What is the principle of transmissibility and how is it used in mechanics?"
"53","5","Define the concept of shear stress and explain its role in materials."
"54","5","Explain the concept of velocity-time graphs and their significance in kinematics."
"55","5","What are the differences between elastic and inelastic collisions?"
"56","5","What is the difference between equilibrium of forces and equilibrium of moments?"
"57","5","Explain the concept of energy conservation in mechanical systems."
"58","5","What is the difference between simple harmonic motion (SHM) and general motion?"
"59","5","Describe the method of calculating the center of gravity of a uniform rod."
"60","5","Explain the working of a pulley system and its applications."
"61","5","What is the difference between simple machines and compound machines?"
"62","5","Describe the concept of potential energy in the context of gravitational force."
"63","5","Explain the relation between torque and angular acceleration."
"64","5","Describe the concept of the center of mass and its significance in mechanics."
"65","5","What is the effect of friction on the motion of a body on an inclined plane?"
"66","5","Describe the effect of rolling friction in the motion of a wheel."
"67","5","What is the principle of conservation of mechanical energy?"
"68","5","Explain the concept of angular momentum in rotational motion."
"69","5","What is the importance of understanding stress-strain curves in engineering mechanics?"
"70","5","Describe the procedure for calculating the resultant force of non-parallel forces."
"71","5","Explain the concept of angular displacement and angular velocity."
"72","5","What is the difference between a rigid body and a flexible body in mechanics?"
"73","5","Explain the concept of mechanical advantage and its use in simple machines."
"74","5","What are the different types of equilibrium? Discuss their importance in engineering."
"75","5","Describe the concept of a force couple and explain its effect on a body."
