"Question No.","Marks","Question"
"1","2","Define a function."
"2","2","Solve for x: 3x + 5 = 14."
"3","2","Find the value of sin(30°)."
"4","2","Find the derivative of f(x) = x^2 + 3x."
"5","2","What is the limit of 1/x as x approaches 0?"
"6","2","Find the value of cos(45°)."
"7","2","Simplify 3/5 + 2/5."
"8","2","Solve for x in 2x = 8."
"9","2","Find the domain of the function f(x) = 1/(x-2)."
"10","2","Find the integral of f(x) = 3x^2."
"11","2","What is the value of tan(0°)?"
"12","2","Find the second derivative of f(x) = x^3 + 5x^2."
"13","2","Simplify: (x + 3)(x + 2)."
"14","2","Find the integral of f(x) = 5x."
"15","2","Solve for x: x^2 - 5x + 6 = 0."
"16","2","Find the value of sin(60°)."
"17","2","Find the derivative of f(x) = sin(x)."
"18","2","Find the integral of f(x) = x."
"19","2","Solve for x: 2x - 7 = 9."
"20","2","Find the value of cos(90°)."
"21","5","Prove that the sum of the first n natural numbers is n(n+1)/2."
"22","5","Solve the quadratic equation x^2 + 5x + 6 = 0."
"23","5","Find the determinant of the matrix [[1, 2], [3, 4]]."
"24","5","Find the value of tan(30°)."
"25","5","Differentiate f(x) = sin(x) + cos(x)."
"26","5","Find the area of a triangle given the coordinates of its vertices as (1, 2), (3, 4), and (5, 6)."
"27","5","Solve the system of equations: x + y = 5, 2x - y = 3."
"28","5","Evaluate ∫₀¹ x² dx."
"29","5","Prove that the equation of a straight line can be written in the form y = mx + c."
"30","5","Solve for the eigenvalues of the matrix [[1, 2], [3, 4]]."
"31","5","Find the derivative of f(x) = e^x."
"32","5","Find the integral of f(x) = 3x + 2."
"33","5","Explain Rolle's Theorem and give an example."
"34","5","Find the inverse of the matrix [[1, 2], [3, 4]]."
"35","5","Find the tangent line to the curve y = x^2 at x = 1."
"36","5","Find the local maxima and minima of f(x) = x³ - 3x + 1."
"37","5","Solve the linear system: 3x + 2y = 7, x - y = 1."
"38","5","Find the value of the limit lim (x→0) (sin(x)/x)."
"39","5","Find the equation of the line through the point (1, 2) with slope 3."
"40","5","Evaluate the integral ∫₀² (x³ - x) dx."
"41","10","Prove that the sum of the first n even numbers is n(n+1)."
"42","10","Find the area of a sector of a circle with radius r = 5 and angle θ = 60°."
"43","10","Explain and prove Rolle's Theorem."
"44","10","Find the limit of sin(x)/x as x approaches 0."
"45","10","Solve the cubic equation x³ + 3x² + 2x = 0."
"46","10","Derive the formula for the area of a circle using integration."
"47","10","Solve the differential equation dy/dx = y, given y(0) = 1."
"48","10","Find the Taylor series expansion of e^x around x = 0."
"49","10","Derive the quadratic formula by completing the square."
"50","10","Prove the identity sin²(x) + cos²(x) = 1."
"51","10","Find the integral of sin(x) from 0 to π."
"52","10","Solve the system of equations: x + y + z = 6, x - y + 2z = 7, 2x + y + z = 8."
"53","10","Find the eigenvectors and eigenvalues of the matrix [[2, 1], [1, 2]]."
"54","10","Prove that the area of a right-angled triangle is 1/2 × base × height."
"55","10","Find the length of the curve y = x² from x = 0 to x = 1."
"56","10","Find the solution to the differential equation dy/dx = x + y."
"57","10","Evaluate the integral of (x² + 1)/(x) dx."
"58","10","Prove the identity tan²(x) + 1 = sec²(x)."
"59","10","Find the volume of the solid formed by revolving the curve y = x² about the x-axis."
"60","10","Solve the partial differential equation ∂u/∂x + ∂u/∂y = 0."
"61","10","Find the Fourier series expansion of f(x) = x² in the interval [−π, π]."
"62","10","Prove the binomial expansion for (1 + x)^n."
"63","10","Find the distance between the points (1, 2) and (3, 4)."
"64","10","Solve the following system using Cramer's Rule: x + 2y = 4, 3x + y = 7."
"65","10","Prove that the sum of the angles in any triangle is 180°."
"66","10","Find the power series representation of ln(1 + x) around x = 0."
"67","10","Find the rate of change of the area of a circle with respect to its radius."
"68","10","Prove that the derivative of sin(x) is cos(x)."
"69","10","Find the area enclosed by the curve y = x² and the x-axis from x = 0 to x = 2."
"70","10","Find the length of the curve y = ln(x) from x = 1 to x = e."
"71","10","Find the solution to the initial value problem y' = 2xy, with y(0) = 1."
"72","10","Find the Laplace transform of e^(-3t)."
"73","10","Prove the Green's Theorem for a simple closed curve."
"74","10","Solve the differential equation y'' + y = 0."
"75","10","Find the surface area of the sphere with radius 3."
"76","10","Evaluate the double integral ∫∫(x² + y²) dA over the region bounded by x² + y² = 4."
"77","10","Find the equation of the plane passing through the point (1, 2, 3) and perpendicular to the vector (1, -1, 1)."
"78","10","Solve the system of linear equations using matrix methods: x + y + z = 6, 2x + y - z = 2, x - y + 3z = 7."
"79","10","Find the volume of the cone with height 4 and radius 3."
"80","10","Prove the divergence theorem for a solid region."
"81","10","Find the gradient of the scalar function f(x, y) = x² + y²."
"82","10","Evaluate the integral of 1/(x² + 1) from 0 to 1."
"83","10","Prove that the function f(x) = x³ is continuous at x = 2."
"84","10","Find the solution to the system of differential equations dx/dt = y, dy/dt = -x."
"85","10","Find the area of the region enclosed by the curve y = x² and y = 4."
"86","10","Prove that the curl of a gradient is zero."
"87","10","Find the volume of the region bounded by x² + y² = 1, z = 0, z = √(1 - x² - y²)."
"88","10","Find the Fourier transform of e^(-|x|)."
"89","10","Find the length of the curve y = sin(x) from x = 0 to x = π."
"90","10","Prove that the series 1 + 1/2 + 1/3 + ... converges to infinity."
"91","10","Find the eigenvalues of the matrix [[5, 2], [2, 5]]."
"92","10","Find the rate of change of volume of a sphere with respect to its radius."
"93","10","Find the area under the curve y = x³ from x = 0 to x = 1."
"94","10","Find the eigenvectors for the matrix [[2, 1], [1, 2]]."
"95","10","Solve the following system of linear equations using Gaussian elimination: 2x + y = 5, x - y = 1."
"96","10","Find the power series expansion for sin(x) about x = 0."
"97","10","Prove that the function f(x) = e^x is always increasing."
"98","10","Find the length of the curve y = x³ from x = 1 to x = 2."
"99","10","Find the solution to the partial differential equation ∂²u/∂x² = 0."
"100","10","Find the derivative of f(x) = ln(x² + 1)."
