"Question No.","Marks","Question"
"1","2","What is the law of demand and how does it affect market equilibrium?"
"2","2","Explain the concept of elasticity of demand. How is it calculated?"
"3","2","What is the difference between microeconomics and macroeconomics?"
"4","2","Describe the role of government in a market economy."
"5","2","What is opportunity cost, and how does it influence decision-making?"
"6","2","Define GDP and discuss the different methods used to calculate it."
"7","2","Explain the concept of inflation and its impact on an economy."
"8","2","What are the factors that affect the supply of goods in an economy?"
"9","2","Discuss the different types of market structures and their characteristics."
"10","2","What is the role of banks in the economy, and how do they influence money supply?"
"11","5","Explain the concept of consumer surplus and producer surplus."
"12","5","What is the principle of comparative advantage, and how does it influence trade?"
"13","5","Describe the various methods of calculating national income."
"14","5","What are the main causes of inflation, and how can it be controlled?"
"15","5","Discuss the role of the central bank in controlling inflation and managing the money supply."
"16","5","What is the difference between fiscal policy and monetary policy?"
"17","5","How does the government use fiscal policy to stabilize the economy?"
"18","5","What are the effects of a decrease in interest rates on investment and consumption?"
"19","5","Explain the concept of business cycles. How do they impact an economy?"
"20","5","Discuss the role of entrepreneurship in the economic development of a country."
"21","5","What are the main objectives of financial management in a firm?"
"22","5","Explain the difference between fixed costs and variable costs in a business."
"23","5","What is the time value of money, and why is it important in financial decision-making?"
"24","5","Describe the main sources of finance for small and medium enterprises (SMEs)."
"25","5","How does the capital structure of a company influence its financial risk?"
"26","5","What is the role of financial markets in an economy?"
"27","5","Explain the different types of financial instruments used in corporate finance."
"28","5","What are the main factors that influence stock prices in the equity market?"
"29","5","What is the significance of the balance sheet and income statement for a business?"
"30","5","What is the role of a financial manager in a corporation?"
"31","5","What are the different methods of project evaluation used in capital budgeting?"
"32","5","Explain the concept of risk and return in investment decisions."
"33","5","How do banks manage credit risk and interest rate risk?"
"34","5","What is the relationship between the risk-free rate and market risk in financial markets?"
"35","5","What is financial leverage, and how does it impact a company's profitability?"
"36","5","Explain the difference between primary and secondary markets in finance."
"37","5","What is the role of venture capital in financing entrepreneurial ventures?"
"38","5","What are the benefits and drawbacks of debt financing for a business?"
"39","5","What is an initial public offering (IPO), and how does it work?"
"40","5","What are the key financial ratios used in financial analysis?"
"41","5","Discuss the importance of budgeting for managing business finances."
"42","5","What is the role of an entrepreneur in identifying and exploiting market opportunities?"
