"Question No.","Marks","Question"
"1","2","Find the value of the definite integral ∫₀¹ x² dx."
"2","2","Evaluate the limit: lim x→0 (sin x)/x."
"3","2","Find the derivative of f(x) = x³ + 2x² – x + 1."
"4","2","Find the second derivative of f(x) = sin x."
"5","2","Solve the differential equation dy/dx = x + y."
"6","2","Solve the linear equation x + y = 5 for y in terms of x."
"7","2","Find the Laplace transform of cos(at)."
"8","2","Find the Fourier series of f(x) = x in the interval (-π, π)."
"9","2","Find the inverse of the matrix [[1, 2], [3, 4]]."
"10","2","Find the eigenvalues and eigenvectors of the matrix [[2, 1], [1, 2]]."
"11","5","Evaluate the integral ∫(3x² + 2x) dx."
"12","5","Solve the first-order differential equation dy/dx = (x² + y²)/(xy)."
"13","5","Find the Maclaurin series for sin(x)."
"14","5","Evaluate the limit: lim x→∞ (1/x²)."
"15","5","Solve the system of linear equations using Cramer's rule: x + 2y = 3 and 3x - y = 5."
"16","5","Find the Fourier transform of the function f(x) = e^(-x²)."
"17","5","Find the Laplace transform of e^(-at) sin(bt)."
"18","5","Evaluate the triple integral ∫∫∫ x² y dz dy dx."
"19","5","Find the inverse Laplace transform of 1/(s² + 1)."
"20","5","Evaluate the integral ∫₀⁰ x cos(x) dx using integration by parts."
"21","5","Solve the second-order differential equation d²y/dx² + 4y = 0."
"22","5","Find the integral of 1/(x² + 1)."
"23","5","Use the method of separation of variables to solve the differential equation dy/dx = xy."
"24","5","Find the derivative of the function f(x) = ln(x² + 1)."
"25","5","Solve the system of linear equations using Gaussian elimination: x + y + z = 6, 2x + 3y + z = 14, 3x + y + 2z = 12."
"26","5","Find the Fourier series for f(x) = x² on the interval (-π, π)."
"27","5","Solve the differential equation dy/dx = (x² - y²)/(x + y)."
"28","5","Find the value of the integral ∫₀⁰ e^(x) dx."
"29","5","Evaluate the double integral ∫∫ (x² + y²) dA, where A is the region bounded by x² + y² = 1."
"30","5","Find the Maclaurin series for e^x."
