"Question No.","Marks","Question"
"1","2","Write a program to print 'Hello, World!' in C."
"2","2","Write a C program to find the sum of two numbers."
"3","2","Write a C program to find the factorial of a given number using recursion."
"4","2","Write a C program to find the largest of three numbers."
"5","2","Write a C program to check whether a given number is even or odd."
"6","2","Write a C program to find the Fibonacci series up to N terms."
"7","2","Write a C program to check whether a given number is prime or not."
"8","2","Write a C program to find the greatest common divisor (GCD) of two numbers."
"9","2","Write a C program to calculate the power of a number using recursion."
"10","2","Write a C program to reverse a given number."
"11","5","Write a C program to print the multiplication table of a given number."
"12","5","Write a C program to find the sum of digits of a given number."
"13","5","Write a C program to check whether a given string is a palindrome."
"14","5","Write a C program to count the number of vowels and consonants in a string."
"15","5","Write a C program to merge two arrays into a third array."
"16","5","Write a C program to find the largest element in an array."
"17","5","Write a C program to sort an array of integers in ascending order using bubble sort."
"18","5","Write a C program to find the second largest element in an array."
"19","5","Write a C program to implement linear search in an array."
"20","5","Write a C program to implement binary search in a sorted array."
"21","5","Write a C program to implement matrix addition."
"22","5","Write a C program to perform matrix multiplication."
"23","5","Write a C program to find the transpose of a matrix."
"24","5","Write a C program to implement a stack using arrays."
"25","5","Write a C program to implement a queue using arrays."
"26","5","Write a C program to reverse a string without using built-in functions."
"27","5","Write a C program to count the number of words in a given string."
"28","5","Write a C program to remove white spaces from a string."
"29","5","Write a C program to find the length of a string without using the built-in `strlen` function."
"30","5","Write a C program to concatenate two strings without using the `strcat` function."
"31","5","Write a C program to check whether a given number is a perfect number."
"32","5","Write a C program to find the Armstrong number within a given range."
"33","5","Write a C program to find the LCM of two numbers using the formula: LCM = (a*b) / GCD(a, b)."
"34","5","Write a C program to print all prime numbers within a given range."
"35","5","Write a C program to find the sum of the first N natural numbers using a loop."
"36","5","Write a C program to generate all possible permutations of a string."
"37","5","Write a C program to implement the insertion sort algorithm."
"38","5","Write a C program to implement the selection sort algorithm."
"39","5","Write a C program to find the smallest element in a matrix."
"40","5","Write a C program to implement quicksort on an array of integers."
"41","5","Write a C program to implement merge sort on an array of integers."
"42","5","Write a C program to implement a linked list and perform insertion and deletion operations."
"43","5","Write a C program to reverse a linked list."
"44","5","Write a C program to implement a doubly linked list and perform insertion and deletion operations."
"45","5","Write a C program to check whether a string is a palindrome using a stack."
"46","5","Write a C program to evaluate a postfix expression using a stack."
"47","5","Write a C program to evaluate an infix expression using a stack."
"48","5","Write a C program to find the number of occurrences of a character in a string."
"49","5","Write a C program to convert an infix expression to postfix expression."
"50","5","Write a C program to implement depth-first search (DFS) in a graph."
"51","5","Write a C program to implement breadth-first search (BFS) in a graph."
"52","10","Write a C program to implement the binary search tree (BST) and perform insertion, deletion, and traversal operations."
"53","10","Write a C program to find the shortest path in a graph using Dijkstra's algorithm."
"54","10","Write a C program to implement dynamic memory allocation using malloc and free functions."
"55","10","Write a C program to simulate a simple ATM system using functions and structures."
"56","10","Write a C program to implement the Fibonacci series using dynamic programming (memoization)."
"57","10","Write a C program to implement Kruskal’s algorithm for finding the minimum spanning tree (MST) of a graph."
"58","10","Write a C program to implement a hash table with linear probing for collision resolution."
"59","10","Write a C program to implement a priority queue using a heap data structure."
"60","10","Write a C program to implement a circular queue using arrays."
"61","10","Write a C program to implement the Tower of Hanoi problem using recursion."
"62","10","Write a C program to implement the depth-first search (DFS) traversal of a graph using a stack."
"63","10","Write a C program to implement the breadth-first search (BFS) traversal of a graph using a queue."
"64","10","Write a C program to find the longest common subsequence (LCS) of two strings using dynamic programming."
"65","10","Write a C program to implement a simple calculator using switch-case statements."
"66","10","Write a C program to find the shortest path between two nodes in a graph using the Bellman-Ford algorithm."
"67","10","Write a C program to solve the N-Queens problem using backtracking."
"68","10","Write a C program to implement an algorithm to count the number of distinct characters in a string."
"69","10","Write a C program to find all permutations of a string using backtracking."
"70","10","Write a C program to implement the A* search algorithm to find the shortest path in a graph."
"71","10","Write a C program to implement the Floyd-Warshall algorithm to find all-pairs shortest paths."
"72","10","Write a C program to implement an AVL tree and perform insertion, deletion, and balancing operations."
"73","10","Write a C program to implement the Rabin-Karp algorithm for pattern matching."
"74","10","Write a C program to solve the knapsack problem using dynamic programming."
"75","10","Write a C program to implement a Trie data structure for efficient word search."
"76","10","Write a C program to implement the Boyer-Moore string matching algorithm."
"77","10","Write a C program to implement the Merge Sort algorithm recursively."
"78","10","Write a C program to implement the Quick Sort algorithm recursively."
"79","10","Write a C program to implement the Counting Sort algorithm for sorting integers."
"80","10","Write a C program to implement the Radix Sort algorithm for sorting integers."
"81","10","Write a C program to implement the Bubble Sort algorithm with a flag to improve performance."
"82","10","Write a C program to implement the Selection Sort algorithm and explain its time complexity."
"83","10","Write a C program to implement the Insertion Sort algorithm and analyze its performance."
"84","10","Write a C program to implement the Shell Sort algorithm and compare its performance with other sorting algorithms."
"85","10","Write a C program to find the maximum subarray sum using the Kadane’s algorithm."
"86","10","Write a C program to find the longest increasing subsequence in an array using dynamic programming."
"87","10","Write a C program to find the intersection of two arrays using hashing."
"88","10","Write a C program to implement the Radix Sort algorithm using counting sort as a subroutine."
"89","10","Write a C program to implement the Heap Sort algorithm."
"90","10","Write a C program to perform a binary search on a sorted linked list."
"91","10","Write a C program to solve the traveling salesman problem using dynamic programming."
"92","10","Write a C program to implement an undirected graph and perform DFS and BFS traversals."
"93","10","Write a C program to implement the Ford-Fulkerson algorithm for finding the maximum flow in a network."
"94","10","Write a C program to implement a simple version of a text editor using linked lists."
"95","10","Write a C program to implement a doubly linked list and perform insertion and deletion from both ends."
"96","10","Write a C program to implement the Prim's algorithm for finding the minimum spanning tree of a graph."
"97","10","Write a C program to implement the Bellman-Ford algorithm for finding the shortest path in a graph."
"98","10","Write a C program to implement the Depth First Search (DFS) traversal of a tree."
"99","10","Write a C program to implement a hash table using chaining for collision resolution."
"100","10","Write a C program to implement the Sieve of Eratosthenes algorithm to find prime numbers up to N."
